gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
65,65,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",161.000000000,240.000000000,
65,65,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",132.000000000,217.000000000,
66,66,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",277.000000000,386.000000000,
66,66,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",644.000000000,918.000000000,
67,67,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",44.000000000,70.000000000,
67,67,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",78.000000000,105.000000000,
68,68,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",58.000000000,72.000000000,
68,68,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",30.000000000,41.000000000,
69,69,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",86.000000000,116.000000000,
69,69,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",102.000000000,201.000000000,
70,70,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",335.000000000,589.000000000,
70,70,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",122.000000000,236.000000000,
70A,70A,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",100.000000000,167.000000000,
70A,70A,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",55.000000000,113.000000000,
71,71,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",332.000000000,378.000000000,
71,71,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",715.000000000,890.000000000,
72,72,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",222.000000000,271.000000000,
72,72,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",93.000000000,132.000000000,
73,73,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",495.000000000,573.000000000,
73,73,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",781.000000000,964.000000000,
74,74,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",60.000000000,75.000000000,
74,74,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",206.000000000,233.000000000,
75,75,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",61.000000000,92.000000000,
75,75,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",40.000000000,49.000000000,
76,76,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",66.000000000,125.000000000,
76,76,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",156.000000000,221.000000000,
77,77,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",979.000000000,1340.000000000,
77,77,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",277.000000000,379.000000000,
78,78,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",219.000000000,306.000000000,
78,78,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",101.000000000,147.000000000,
79,79,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",79.000000000,113.000000000,
79,79,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",154.000000000,199.000000000,
80,80,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",97.000000000,162.000000000,
80,80,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",291.000000000,432.000000000,
83,83,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",209.000000000,288.000000000,
83,83,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",75.000000000,108.000000000,
84,84,,"Limited Service","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",53.000000000,91.000000000,
